alpha,random_state,MAE,RMSE,R²,Coefficients,Intercept
0.01,42,1466.9532934128806,2108.6735384667168,0.06302073744223458,"[297.43020227577836, -139.31969530988192, 292.5699957541828]",1829.684965662263
0.01,23,1740.9089275632718,6259.62395843256,0.00010080006524981755,"[546.5346030355154, -115.88998353045265, 105.17629372405891]",1736.2602604592732
0.01,15,1499.552547778113,2527.9412009166053,0.03786263045698146,"[442.4654232661108, -106.24313957982415, 174.00138643353523]",1804.2172538738812
0.01,34,1725.30501549403,5360.462468196177,0.013370038020283137,"[148.23414238555588, -214.70695323980576, 426.83718949218184]",1718.0028708178888
0.01,18,1745.0916678648146,5157.175281913585,0.0032697955678667734,"[381.8217086485993, -184.49640987811082, 253.4226556474568]",1724.9269344333875
0.01,32,1534.134117425244,3505.1160817695663,-0.003220083976154031,"[290.9740694154846, -247.76166134543283, 354.4748754055348]",1816.6026439312004
0.01,47,1685.1985490453417,4638.181447381209,0.030802900495697227,"[359.69184528141955, -99.59859102851037, 144.12803493423874]",1730.2702271337685
0.01,27,1853.1384969369306,6610.633482576834,0.010583501298672027,"[417.56346853527896, -123.25280085971544, 138.19068256748636]",1714.2744921683402
0.01,8,1422.1729050368106,2198.740451152303,0.051281112332606904,"[126.80200377871482, -242.62770830329688, 461.96364057759513]",1832.3509057944782
0.01,52,1361.827840881024,2084.717481976209,0.06531880248872657,"[316.89965360606004, -144.47904887960914, 271.8834513210639]",1821.6294183797186
0.05,42,1466.9557144432495,2108.675567361858,0.06301893438116002,"[297.80789851789064, -139.11877660301397, 292.13939904051097]",1829.6852395655328
0.05,23,1740.9082312568432,6259.623943270728,0.00010080490908825901,"[547.0230989373933, -115.65084093796627, 104.62371851224903]",1736.2584997763452
0.05,15,1499.5558544462137,2527.9434614769534,0.03786090971240197,"[442.8578375110799, -106.03955362300749, 173.55503208276306]",1804.2165363043252
0.05,34,1725.3043316514486,5360.460556089875,0.013370741892772542,"[148.64832101502796, -214.4975822870291, 426.3688084883748]",1718.0021322145628
0.05,18,1745.082731541169,5157.1727754383355,0.003270764423429995,"[382.2355093831691, -184.28686052823426, 252.95470111965872]",1724.9256418661482
0.05,32,1534.1363672328682,3505.1074008225273,-0.003215114731524249,"[291.4204255459414, -247.53711074419408, 353.96839746281984]",1816.602255960719
0.05,47,1685.1938364946964,4638.187653310483,0.03080030690476343,"[360.11316794610747, -99.38211854413993, 143.65123945607024]",1730.2703769667085
0.05,27,1853.1450267293715,6610.635830137173,0.010582798577714936,"[418.0205021846912, -123.02800065170652, 137.67713693124583]",1714.2732051711039
0.05,8,1422.1721103700233,2198.732752965041,0.05128775559317644,"[127.17767234914841, -242.42767012197024, 461.5358273650413]",1832.3515528676066
0.05,52,1361.8289774642433,2084.719097379855,0.06531735395863836,"[317.31213612802185, -144.26417905576676, 271.41447817385387]",1821.630428306024
0.1,42,1466.9587565618122,2108.6781152956437,0.06301667005259959,"[298.27815665568, -138.86837109903462, 291.6030183289729]",1829.6855788316168
0.1,23,1740.907347785589,6259.623956585947,0.00010080065519801895,"[547.6383591129794, -115.35010886416579, 103.92826478379796]",1736.2562929146643
0.1,15,1499.559989179702,2527.946295057754,0.037858752780948746,"[443.34877104931377, -105.78490815258301, 172.99667251157922]",1804.2156400646616
0.1,34,1725.3034826964665,5360.458170500614,0.013371620060465439,"[149.16577883730753, -214.23597147477602, 425.7835992590968]",1718.0012088227352
0.1,18,1745.071535345428,5157.16964661277,0.0032719738422740674,"[382.7542190257665, -184.02435856715448, 252.368296216202]",1724.9240270163943
0.1,32,1534.1391659319006,3505.096543864159,-0.0032088998875143826,"[291.980748383536, -247.25548994296327, 353.33288720729973]",1816.6017674121917
0.1,47,1685.1880667455594,4638.195409198479,0.030797065547961133,"[360.63561345164584, -99.11318597540628, 143.05949325804727]",1730.2705805393136
0.1,27,1853.153189555079,6610.638766343009,0.010581919650700766,"[418.59127673845944, -122.74719919108935, 137.0357269942711]",1714.2715987381484
0.1,8,1422.17112130413,2198.7231398599083,0.05129605132679571,"[127.64702189761748, -242.17771698486294, 461.00129623598787]",1832.3523616285026
0.1,52,1361.8303769633794,2084.7211206882653,0.06531553965936054,"[317.8293184892289, -143.99496052388312, 270.826667743714]",1821.6316940120412
0.5,42,1466.9830749016132,2108.6986802216747,0.06299839406567354,"[302.042410712533, -136.8642538202993, 287.3097801372064]",1829.6882966195908
0.5,23,1740.9006540984794,6259.6241222198405,0.0001007477391758993,"[552.5384794623886, -112.95278924238222, 98.38704284975574]",1736.238666455268
0.5,15,1499.5930848472942,2527.969186038546,0.03784132799896733,"[447.28153118560294, -103.74566926037573, 168.52449264677904]",1804.2084793412364
0.5,34,1725.2966991922451,5360.439186676658,0.013378608249054125,"[153.30507212131505, -212.14322809384814, 421.1022968905395]",1717.9938214965973
0.5,18,1744.9822909779198,5157.144698355638,0.0032816173361449597,"[386.88550325890776, -181.93147035762428, 247.69548796653248]",1724.9110973835964
0.5,32,1534.1616618547127,3505.0100190526505,-0.0031593712149078357,"[296.4446872663558, -245.00983584029825, 348.26772461961417]",1816.5978871380078
0.5,47,1685.1411597110916,4638.257617978196,0.03077106692959164,"[364.8412388230145, -96.95145631163939, 138.2992125962968]",1730.2721082804937
0.5,27,1853.2184924536482,6610.6623740707855,0.010574852873879048,"[423.1572141243859, -120.50088701733587, 131.904708845438]",1714.2587484325984
0.5,8,1422.1629506538925,2198.646100994666,0.05136253154335324,"[131.41610258166088, -240.17237068624158, 456.71080996023977]",1832.3588365855458
0.5,52,1361.8417698945113,2084.7376490584984,0.06530071861504916,"[321.9521279239966, -141.84706804871024, 266.1389709318429]",1821.6417890651835
1.0,42,1467.0176282407729,2108.7266679414283,0.06297352117830046,"[306.25892395207944, -134.55410755651747, 282.43282832780744]",1829.6908767145292
1.0,23,1740.8947715136578,6259.624528927717,0.00010061780584236235,"[558.6184080088301, -109.97371891859768, 91.50665744552364]",1736.2166919320102
1.0,15,1499.6338737795754,2527.9968084844495,0.03782030138106729,"[452.0248539544563, -101.26431444221134, 163.10726921980864]",1804.1992285187823
1.0,34,1725.2956066309168,5360.4183230862955,0.013386288375172417,"[158.14388492730154, -209.657243237292, 415.58794430150084]",1717.9844134500684
1.0,18,1744.8771684045837,5157.113329091849,0.0032937427383228357,"[391.68577074870177, -179.456351742108, 242.21906854152869]",1724.894721015541
1.0,32,1534.1928994685652,3504.9050803601613,-0.0030993036793938167,"[301.47795684190436, -242.41717183828544, 342.49100739048134]",1816.5938611248312
1.0,47,1685.0991471985797,4638.335000417509,0.030738726369444413,"[369.5199678615727, -94.47716658966901, 132.9327064260024]",1730.2762555961585
1.0,27,1853.3006965697473,6610.6909445875635,0.010566300493722869,"[428.3556748970902, -117.88851287100903, 126.00442147026426]",1714.2449609300247
1.0,8,1422.1555802308687,2198.553680523873,0.05144228214871094,"[135.97013051085864, -237.72869940152887, 451.50450681420523]",1832.3668766465155
1.0,52,1361.8624024244648,2084.760094413976,0.06528059160234456,"[326.6302108577605, -139.35224411702046, 260.75923059074427]",1821.6534149611716
2.0,42,1467.088085506113,2108.784651547064,0.06292198968146934,"[314.5330799261909, -129.99719376690186, 272.8380524983301]",1829.6957713186885
2.0,23,1740.9521800881218,6259.617934976371,0.00010272441283587508,"[569.3259864096037, -104.58012571489685, 79.22771462526586]",1736.1746232215698
2.0,15,1499.712336719177,2528.0456725109575,0.03778310479242408,"[460.5854349840713, -96.66475006764065, 153.20089322091613]",1804.1791179544753
2.0,34,1725.3093077873834,5360.382934275294,0.013399315332702777,"[167.10039773288509, -204.96473516258848, 405.2845920436435]",1717.965223387251
2.0,18,1744.6768932157956,5157.0506504174,0.0033179701862745548,"[400.72241457084397, -174.72462930618485, 231.83128801253358]",1724.8616361063248
2.0,32,1534.2574266068373,3504.6986094215645,-0.0029811237289376624,"[311.18471748413367, -237.37295285939314, 331.30267056737506]",1816.5863516281993
2.0,47,1685.0234635500433,4638.490341485549,0.030673802812726914,"[378.58720519905756, -89.64294470793277, 122.49269606394049]",1730.285673184943
2.0,27,1853.465735816799,6610.7475472427195,0.010549356783987829,"[438.19453233440817, -112.87814350000795, 114.7668716760819]",1714.2198808265614
2.0,8,1422.156602208739,2198.389225909194,0.051584183491462876,"[144.20588607740694, -233.19073392889226, 441.9613274263933]",1832.3826593793922
2.0,52,1361.9415615505006,2084.807814376998,0.06523779983342703,"[335.71287536353515, -134.47192208096996, 250.27581227849063]",1821.6760955528796
5.0,42,1467.306563743075,2108.9701135031564,0.06275715543634008,"[339.2928451965075, -116.3514665751761, 244.11652920631812]",1829.7103503103958
5.0,23,1741.2279326640316,6259.608531274141,0.00010572866302316353,"[601.4493500444464, -88.39910181185775, 42.39024494534863]",1736.048416276586
5.0,15,1500.0082723094115,2528.203847977159,0.03766269251581089,"[486.4163307729866, -82.80756847381075, 123.332289380302]",1804.1190453954164
5.0,34,1725.3518946916045,5360.282183682086,0.013436402112256163,"[193.96993614963438, -190.8872109384783, 374.3745352700739]",1717.907653198798
5.0,18,1744.0769266864875,5156.868350076955,0.0033884338191625396,"[427.78375973380565, -160.54828979169858, 200.7166332948093]",1724.762352757792
5.0,32,1534.4504895304053,3504.092048386607,-0.0026339802562667103,"[340.3959107843653, -222.2046394980599, 297.64540465012993]",1816.5636860480636
5.0,47,1684.7976121576546,4638.963656758339,0.03047597107538691,"[405.7471812674309, -75.15672454772854, 91.21480088508874]",1730.3140874410976
5.0,27,1853.960943701631,6610.923486453992,0.01049668937200432,"[467.6313823533545, -97.87766050508468, 81.13465326889298]",1714.144996925552
5.0,8,1422.1596681423512,2197.906438730612,0.05200070001460533,"[168.91315277705263, -219.57683751098202, 413.3317892629571]",1832.430007578022
5.0,52,1362.2333777801443,2084.968781537324,0.06509344904520276,"[362.92358390712815, -119.84585977649262, 218.86319144397112]",1821.7440594593343
10.0,42,1467.805478687307,2109.316727430042,0.06244905422943514,"[380.58569010461076, -93.59798848038773, 196.22071123389665]",1829.734693046387
10.0,23,1741.5221172369859,6259.521493026353,0.00013353501540369628,"[636.9617728726557, -68.44579692515471, 0.0]",1735.8681697880243
10.0,15,1500.5042354757616,2528.501468566931,0.037436106154555726,"[529.4170956669916, -59.73215823794484, 73.602120970745]",1804.0188363300456
10.0,34,1725.432588837449,5360.132319816667,0.013491566434722713,"[238.75250017754988, -167.42467056496133, 322.85777398079074]",1717.8117028847098
10.0,18,1743.3814879416702,5156.583861465169,0.0034983907934785785,"[472.9013452571022, -136.9151114386582, 148.84350008816742]",1724.5968895487308
10.0,32,1534.771634472675,3503.1250449374356,-0.002080674736187671,"[389.1910994055101, -196.8810264167695, 241.43847068586294]",1816.5257444075264
10.0,47,1684.4206320173755,4639.77702232073,0.03013596125966156,"[451.03333219118406, -51.005331055849005, 39.06526434040565]",1730.3613689894946
10.0,27,1854.786250655376,6611.237907751402,0.010402563849617463,"[516.7277510619646, -72.86342878678964, 25.045693211249784]",1714.0200341661418
10.0,8,1422.1647780317044,2197.1370719705224,0.052664269202797764,"[210.09193060979507, -196.88701014779846, 365.61589232389724]",1832.5089212424054
10.0,52,1362.7298842031744,2085.296124081153,0.06479986315054109,"[408.299435256253, -95.4592278314521, 166.48392193455496]",1821.8573841603184
