random_state,C,epsilon,MAE,RMSE,R²,Support Vectors
42,0.1,0.01,1199.8150825214552,2301.762157051752,-0.11643173763993975,1754
23,0.1,0.01,1563.7660290479625,6369.562543110177,-0.03533035013427788,1754
15,0.1,0.01,1279.1259832254666,2732.659112497349,-0.1242789103123294,1754
34,0.1,0.01,1629.8333166032357,5537.397739335819,-0.052837193698375584,1754
18,0.1,0.01,1597.0593401990586,5314.59728578739,-0.05850900495991529,1754
32,0.1,0.01,1231.3256698084701,3581.4899083979417,-0.04741519661293281,1754
47,0.1,0.01,1510.3417923496504,4838.736396096275,-0.05482536271805194,1754
27,0.1,0.01,1626.4744236694346,6742.646262913982,-0.029327894404626687,1754
8,0.1,0.01,1168.2828045608273,2353.066627369075,-0.08657088299175797,1754
52,0.1,0.01,1182.3126215672712,2290.097597033225,-0.1279168165897151,1754
42,0.1,0.1,1199.8093511398595,2301.7905179647396,-0.11645924979477917,1752
23,0.1,0.1,1563.7660290479625,6369.562543110177,-0.03533035013427788,1754
15,0.1,0.1,1279.1259832254666,2732.659112497349,-0.1242789103123294,1754
34,0.1,0.1,1629.8320968762207,5537.392922054962,-0.05283536185948923,1754
18,0.1,0.1,1597.0593401990586,5314.59728578739,-0.05850900495991529,1754
32,0.1,0.1,1231.3256698084701,3581.4899083979417,-0.04741519661293281,1754
47,0.1,0.1,1510.3417923496504,4838.736396096275,-0.05482536271805194,1754
27,0.1,0.1,1626.4744236694346,6742.646262913982,-0.029327894404626687,1754
8,0.1,0.1,1168.2932601416928,2353.0408266119352,-0.08654705519406969,1754
52,0.1,0.1,1182.3126215672712,2290.0975970332256,-0.12791681658971532,1754
42,0.1,0.2,1199.803200798174,2301.8232204898013,-0.11649097405089703,1752
23,0.1,0.2,1563.7660290479628,6369.562543110178,-0.0353303501342781,1754
15,0.1,0.2,1279.1259832254666,2732.659112497349,-0.1242789103123294,1754
34,0.1,0.2,1629.8264021154,5537.370431782681,-0.05282680963782016,1754
18,0.1,0.2,1597.0593401990584,5314.59728578739,-0.05850900495991529,1754
32,0.1,0.2,1231.3256698084701,3581.4899083979417,-0.04741519661293281,1754
47,0.1,0.2,1510.34179234965,4838.736396096275,-0.05482536271805194,1754
27,0.1,0.2,1626.4744236694346,6742.646262913982,-0.029327894404626687,1754
8,0.1,0.2,1168.3048774537658,2353.0121628095794,-0.08652058359188297,1754
52,0.1,0.2,1182.3126215672712,2290.0975970332256,-0.12791681658971532,1754
42,1.0,0.01,1179.2746857240818,2280.855691037265,-0.09624316792872123,1754
23,1.0,0.01,1542.8496956326906,6363.095225378489,-0.033228977865767284,1754
15,1.0,0.01,1259.1807983506822,2714.3357549559796,-0.10925215658848142,1755
34,1.0,0.01,1604.8118597851353,5524.842869118569,-0.048068437621061166,1754
18,1.0,0.01,1577.8674431281268,5305.964300936361,-0.055072932649858464,1755
32,1.0,0.01,1209.8520785606206,3578.070084205736,-0.04541588025234411,1755
47,1.0,0.01,1489.278719588645,4826.523571686675,-0.04950738773689656,1754
27,1.0,0.01,1606.0714463994134,6736.036150193136,-0.02731069284122256,1755
8,1.0,0.01,1145.5501160647063,2338.466947763329,-0.07312938201369423,1754
52,1.0,0.01,1159.349029811125,2270.5648872211273,-0.10875840404705595,1754
42,1.0,0.1,1179.2746857240818,2280.855691037265,-0.09624316792872145,1754
23,1.0,0.1,1542.8511307124172,6363.111556630411,-0.03323428155643593,1754
15,1.0,0.1,1259.1846935670833,2714.3656831205417,-0.10927661786895637,1755
34,1.0,0.1,1604.8145249331988,5524.862738982829,-0.048075976302443646,1754
18,1.0,0.1,1577.8614977978307,5305.943329620449,-0.05506459251683116,1755
32,1.0,0.1,1209.8584339136958,3578.0505828549894,-0.045404484742630924,1755
47,1.0,0.1,1489.278719588645,4826.523571686675,-0.04950738773689656,1754
27,1.0,0.1,1606.085765743079,6736.042456154763,-0.02731261628245596,1755
8,1.0,0.1,1145.5441137995492,2338.484291403517,-0.07314530016803378,1754
52,1.0,0.1,1159.3492348225147,2270.595402692274,-0.10878820677380219,1754
42,1.0,0.2,1179.2746857240818,2280.855691037265,-0.09624316792872123,1754
23,1.0,0.2,1542.8527252454467,6363.129703909699,-0.0332401750309248,1754
15,1.0,0.2,1259.1890215853064,2714.3989397495634,-0.10930379993008166,1755
34,1.0,0.2,1604.8174862088254,5524.884818245466,-0.04808435326747462,1754
18,1.0,0.2,1577.8548918752792,5305.9200298515625,-0.055055326414400696,1755
32,1.0,0.2,1209.8654954171127,3578.0289172179273,-0.04539182461664759,1755
47,1.0,0.2,1489.2810507797046,4826.535965282588,-0.04951277761513029,1754
27,1.0,0.2,1606.0956450329325,6736.051619056884,-0.027315411149446467,1754
8,1.0,0.2,1145.5338632300732,2338.5139136789635,-0.07317248804107845,1754
52,1.0,0.2,1159.3494626129477,2270.629312474201,-0.10882132500085939,1754
42,10.0,0.01,1142.091761726081,2222.7441773704936,-0.04109472328828989,1754
23,10.0,0.01,1508.7930499302888,6351.583312342269,-0.029493788561736123,1755
15,10.0,0.01,1221.258396069591,2670.134115483195,-0.07341904881423811,1752
34,10.0,0.01,1550.0813691976946,5504.573113807376,-0.04039215769238802,1752
18,10.0,0.01,1550.9624537711718,5286.982951180316,-0.04753768143585102,1753
32,10.0,0.01,1181.3338677946106,3561.8088349391905,-0.03593527288166243,1753
47,10.0,0.01,1447.3924311546498,4794.321330752055,-0.035549620699000695,1753
27,10.0,0.01,1576.2865850825244,6716.187746008292,-0.021265465021826246,1754
8,10.0,0.01,1109.5604697229905,2295.2009648558815,-0.03378695988685232,1754
52,10.0,0.01,1115.8986850103117,2224.1189690495944,-0.06386156223147976,1755
42,10.0,0.1,1142.0944103357028,2222.7163708078097,-0.04106867523030844,1754
23,10.0,0.1,1508.7879121806332,6351.6010076934135,-0.029499524857261372,1755
15,10.0,0.1,1221.2703718091047,2670.169272604387,-0.07344731598764831,1751
34,10.0,0.1,1550.101561145377,5504.586873206246,-0.04039735889083684,1752
18,10.0,0.1,1550.9632261779032,5286.9802889249495,-0.0475366264628585,1753
32,10.0,0.1,1181.337875223456,3561.794821080867,-0.03592712116872132,1753
47,10.0,0.1,1447.4049874416194,4794.326331544078,-0.03555178099265954,1753
27,10.0,0.1,1576.3069168707634,6716.1740104250775,-0.021261287752528446,1754
8,10.0,0.1,1109.565542127412,2295.177281763066,-0.033765625679885725,1753
52,10.0,0.1,1115.8935881729947,2224.105326561145,-0.0638485110640159,1755
42,10.0,0.2,1142.0973625185923,2222.6855773249754,-0.04103982952715457,1754
23,10.0,0.2,1508.7813839394282,6351.618503358344,-0.029505196436291126,1754
15,10.0,0.2,1221.2668551041684,2670.1853294727434,-0.0734602262208992,1751
34,10.0,0.2,1550.12405827184,5504.602204357302,-0.04040315424356633,1752
18,10.0,0.2,1550.9641073810567,5286.977374654553,-0.047535471624379655,1753
32,10.0,0.2,1181.3423279221738,3561.7792522166833,-0.035918064962951135,1753
47,10.0,0.2,1447.4189541273818,4794.331915563834,-0.035554193237705034,1753
27,10.0,0.2,1576.3294416579963,6716.158797011553,-0.021256661055046866,1754
8,10.0,0.2,1109.5648615702155,2295.186590374069,-0.03377401103788724,1751
52,10.0,0.2,1115.887795061547,2224.090248552671,-0.06383408669094282,1755
